"Year","Game","ReleaseDate","Genre","Earnings","Players","Tournaments"
"1998","Quake II","1997","First-Person Shooter",66200,16,4
"1998","QuakeWorld","1996","First-Person Shooter",43500,12,3
"1998","StarCraft: Brood War","1998","Strategy",20000,8,1
"1998","Age of Empires","1997","Strategy",2000,1,1
"1999","StarCraft: Brood War","1998","Strategy",139553.84,40,11
"1999","Descent 3","1999","First-Person Shooter",50000,1,1
"1999","Quake III Arena","1999","First-Person Shooter",43200,15,2
"1999","Quake II","1997","First-Person Shooter",42400,12,2
"2000","Quake III Arena","1999","First-Person Shooter",415237.82,97,28
"2000","StarCraft: Brood War","1998","Strategy",133038.04,47,10
"2000","Age of Empires II","1999","Strategy",113768.3,37,16
"2000","FIFA 2000","1999","Sports",50000,4,1
"2000","Counter-Strike","2000","First-Person Shooter",23763.33,62,2
"2000","Age of Empires","1997","Strategy",9500,4,1
"2000","Marvel vs. Capcom 2","2000","Fighting Game",0,3,1
"2000","Street Fighter Alpha 2","1996","Fighting Game",0,3,1
"2000","Street Fighter Alpha 3","1998","Fighting Game",0,3,1
"2000","Street Fighter III: 3rd Strike","1999","Fighting Game",0,3,1
"2000","Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
"2001","Counter-Strike","2000","First-Person Shooter",346592.44,222,13
"2001","Age of Empires II","1999","Strategy",160541.29,49,17
"2001","Quake III Arena","1999","First-Person Shooter",147736.74,48,14
"2001","StarCraft: Brood War","1998","Strategy",91893.99,50,9
"2001","FIFA 2001","2000","Sports",46000,9,2
"2001","Unreal Tournament","1999","First-Person Shooter",46000,9,2
"2001","Aliens versus Predator 2","2001","First-Person Shooter",40000,1,1
"2001","QuakeWorld","1996","First-Person Shooter",15000,8,1
"2001","Capcom vs. SNK","2000","Fighting Game",0,3,1
"2001","Marvel vs. Capcom 2","2000","Fighting Game",0,3,1
"2001","Street Fighter Alpha 3","1998","Fighting Game",0,3,1
"2001","Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
"2002","Counter-Strike","2000","First-Person Shooter",400994.88,351,14
"2002","StarCraft: Brood War","1998","Strategy",132944.26,36,10
"2002","Quake III Arena","1999","First-Person Shooter",102206.4,24,4
"2002","Age of Empires II","1999","Strategy",92866,37,28
"2002","Return to Castle Wolfenstein","2001","First-Person Shooter",67424.3,30,2
"2002","FIFA 2002 World Cup","2002","Sports",43000,8,1
"2002","Unreal Tournament","1999","First-Person Shooter",43000,8,2
"2002","Unreal Tournament 2003","2002","First-Person Shooter",34000,18,5
"2002","WarCraft III","2002","Strategy",31285.25,12,4
"2002","NASCAR Thunder 2002","2001","Racing",7679.25,0,1
"2002","Star Wars Jedi Knight II: Jedi Outcast","2002","First-Person Shooter",7679.25,0,1
"2002","Halo: Combat Evolved","2001","First-Person Shooter",5000,21,2
"2002","Age of Empires","1997","Strategy",100,3,1
"2002","Super Smash Bros. Melee","2001","Fighting Game",40,4,2
"2002","Capcom vs. SNK 2","2001","Fighting Game",0,3,1
"2002","Marvel vs. Capcom 2","2000","Fighting Game",0,3,1
"2002","Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
"2003","Counter-Strike","2000","First-Person Shooter",819377.99,497,61
"2003","StarCraft: Brood War","1998","Strategy",276838.39,81,16
"2003","WarCraft III","2002","Strategy",191632.33,60,29
"2003","Unreal Tournament 2003","2002","First-Person Shooter",111773.91,17,8
"2003","Halo: Combat Evolved","2001","First-Person Shooter",107150,70,12
"2003","Quake III Arena","1999","First-Person Shooter",95463.46,26,6
"2003","FIFA 03","2002","Sports",54066.44,10,3
"2003","Age of Mythology","2002","Strategy",49000,8,3
"2003","Age of Empires II","1999","Strategy",27697.02,45,21
"2003","Super Smash Bros. Melee","2001","Fighting Game",15550,8,4
"2003","Tekken 4","2001","Fighting Game",12500,3,3
"2003","NASCAR Thunder 2003","2002","Racing",5933.5,0,1
"2003","Live for Speed","2003","Racing",2491.62,5,1
"2003","Gran Turismo 3: A-Spec","2001","Racing",1500,3,1
"2003","Madden NFL 2004","2003","Sports",1500,3,1
"2003","Soul Calibur II","2003","Fighting Game",1500,6,3
"2003","Age of Empires","1997","Strategy",625,4,1
"2003","Capcom vs. SNK 2","2001","Fighting Game",0,3,2
"2003","FIFA 04","2003","Sports",0,0,1
"2003","Guilty Gear XX","2002","Fighting Game",0,3,1
"2003","Marvel vs. Capcom 2","2000","Fighting Game",0,3,2
"2003","Street Fighter III: 3rd Strike","1999","Fighting Game",0,3,1
"2003","Super Street Fighter II Turbo","1994","Fighting Game",0,3,1
"2003","Tekken Tag Tournament","1999","Fighting Game",0,3,2
"2003","Virtua Fighter 4: Evolution","2002","Fighting Game",0,3,2
"2004","Counter-Strike","2000","First-Person Shooter",899651.67,698,89
"2004","StarCraft: Brood War","1998","Strategy",498433.15,77,16
"2004","WarCraft III","2002","Strategy",353388.9,111,72
